,reviews,rating,ebikes,total_bikes
2649,145,4.0,0,6
2650,44,5.0,0,6
2651,177,4.0,0,6
2652,86,4.5,1,3
2653,501,4.5,1,3
2654,163,4.5,1,3
2655,165,4.5,1,3
2656,129,4.0,1,3
2657,494,4.5,1,3
2658,127,4.5,1,3
2659,22,5.0,1,3
2660,112,5.0,1,3
2661,27,5.0,1,3
2662,278,4.0,1,3
2663,61,3.5,1,3
2664,85,5.0,1,3
2665,51,3.5,1,3
2666,318,4.5,1,3
2667,568,3.5,1,3
2668,21,4.5,1,3
2669,169,4.5,1,3
2670,100,4.5,1,3
2671,12,4.0,1,3
2672,105,4.0,0,5
2673,94,4.5,0,5
2674,112,4.5,0,5
2675,206,3.0,0,5
2676,162,3.0,0,5
2677,39,4.0,0,5
2678,186,2.5,0,5
2679,55,4.0,0,5
2680,47,2.5,0,5
2681,55,2.5,0,5
2682,22,2.0,0,5
2683,3,1.0,0,5
2684,102,3.0,2,8
2685,105,4.0,2,8
2686,110,2.5,2,8
2687,89,3.0,2,8
2688,118,3.5,2,8
2689,23,4.0,2,8
2690,43,3.0,2,8
2691,5,3.0,2,8
2692,20,3.5,2,8
2693,35,2.5,2,8
2694,27,1.5,2,8
2695,16,3.0,2,8
2696,2208,4.5,2,6
2697,424,4.5,2,6
2698,83,4.0,2,6
2699,221,4.5,2,6
2700,107,4.5,2,6
2701,384,4.0,2,6
2702,112,3.0,2,6
2703,122,4.5,2,6
2704,483,4.0,2,6
2705,36,5.0,2,6
2706,530,3.5,2,6
2707,367,4.0,2,6
2708,193,4.0,2,6
2709,360,4.0,2,6
2710,44,3.5,2,6
2711,79,3.5,2,6
2712,109,4.5,2,6
2713,111,4.0,2,6
2714,131,4.0,2,6
2715,51,4.0,2,6
2716,415,4.0,2,9
2717,116,3.5,2,9
2718,73,5.0,2,9
2719,448,4.0,2,9
2720,163,4.5,2,9
2721,450,3.5,2,9
2722,254,4.0,2,9
2723,76,3.5,2,9
2724,8,4.0,2,9
2725,326,4.0,5,5
2726,159,4.0,5,5
2727,22,4.5,5,5
2728,165,4.0,5,5
2729,38,4.0,5,5
2730,13,3.0,1,5
2731,414,4.5,7,12
2732,60,4.5,7,12
2733,79,4.5,7,12
2734,708,4.5,7,12
2735,234,4.0,7,12
2736,145,4.0,7,12
2737,302,3.5,7,12
2738,92,3.5,7,12
2739,226,4.0,7,12
2740,108,4.5,7,12
2741,225,3.5,7,12
2742,161,3.5,7,12
2743,283,4.5,7,12
2744,129,4.5,7,12
2745,870,4.0,7,12
2746,772,3.5,7,12
2747,47,4.0,7,12
2748,152,4.0,7,12
2749,162,3.0,7,12
2750,64,4.0,7,12
2751,490,4.0,1,7
2752,103,4.0,1,7
2753,685,3.0,1,7
2754,38,4.5,1,7
2755,84,4.0,1,7
2756,72,3.5,1,7
2757,94,3.5,1,7
2758,20,4.0,1,7
2759,22,3.5,1,7
2760,17,3.5,1,7
2761,0,0.0,1,7
2762,241,4.5,2,7
2763,16,4.0,2,7
2764,74,4.5,2,7
2765,50,4.5,2,7
2766,204,3.5,2,7
2767,109,5.0,2,7
2768,47,5.0,2,7
2769,125,4.0,2,7
2770,52,4.5,2,7
2771,29,4.0,2,7
2772,103,4.5,2,7
2773,32,3.5,2,7
2774,0,0.0,2,7
2775,3949,4.0,2,14
2776,1784,4.0,2,14
2777,917,4.5,2,14
2778,1509,4.0,2,14
2779,589,4.0,2,14
